x,y
486139.4100186407,2529893.16609021
485888.75642905734,2529995.1648297934
486267.834539474,2530438.1350506265
486135.044720724,2530731.060194377
486136.26148530736,2530730.91210896
486249.0570811407,2531467.944631877
486305.7251853073,2531496.428453752
486512.350383224,2529857.3508068766
486720.90458114067,2530517.9978906265
486759.45712280733,2530348.0476693767
486763.83070614067,2530407.2270006267
486649.68262280733,2530484.47155271
486398.49421864067,2530509.382344585
486759.654539474,2530362.1744360435
486751.77245614066,2530395.117463127
486752.2119353073,2530401.5377172935
486752.042914474,2530389.4740235433
486760.237601974,2530368.2614818765
486574.1444978073,2530289.2296735435
486577.226289474,2530292.7229360435
486750.9970186407,2530402.07014021
486759.5333728073,2530345.785061043
486751.503976974,2530394.4969235435
486637.339539474,2530646.79529021
486664.7720061407,2530635.4353943765
486563.70368530735,2530676.1570193768
486741.145408224,2530588.6433943766
486707.26529780735,2530599.18372771
486706.0847353073,2530615.17266521
486703.8952478073,2530612.7878422933
486637.6100603073,2530648.0977297933
486672.7575811407,2530631.69229021
486673.094851974,2530630.90779021
486693.92220614065,2530602.1884568767
486608.290676974,2530594.2568318765
486579.0694873907,2530607.5206235433
486694.98059364065,2530599.6948110433
486674.385770724,2530630.99077771
486664.8885061407,2530635.0625047935
486704.178651974,2530613.3870068765
486426.4824186407,2531484.48255896
486607.6127061407,2531412.125606877
486530.84531239065,2531519.31778396
486619.563539474,2531434.2489631264
486327.8286705157,2531479.8529016683
486344.9985465573,2531465.7428172934
486423.70126864064,2531485.4405985433
486611.394239474,2531420.769704793
486622.888926974,2531442.921554793
486344.991558224,2531459.5250506266
486429.9354040573,2531482.0149547933
486419.509708224,2531485.5889006266
486694.071039474,2531645.123717293
486563.62412905734,2531551.88091521
486679.3981353073,2531609.6918110433
486419.51159780734,2531547.612269377
486529.85366030736,2531546.0838318765
486424.1402561407,2531603.7421235433
486680.914133224,2531611.3193318765
486691.988539474,2531640.4750193767
486730.7040498907,2532319.24889021
486517.254039474,2532114.28132146
486758.98662280734,2532156.5115547935
486456.794826974,2532314.4266318767
486689.0887186407,2532142.3550610435
486662.32201864064,2532146.5647693765
486487.975476974,2532218.1080193766
486714.462726974,2532081.610873543
486581.125801974,2532182.9200672936
486610.45903530734,2532153.632456877
486764.68370614067,2532148.2707068766
486443.09421864065,2532159.7011235435
486570.776033224,2532233.90339646
486654.7427061407,2532159.319748543
486633.22888114065,2532510.435533127
486633.273664474,2532529.8895843765
486785.03393530735,2532144.97209021
486457.7023061407,2532137.05516521
486581.43809155736,2532414.3787672934
486513.9931415573,2532318.9773110435
486474.28671864065,2532171.17502146
486636.08327905735,2532500.182392293
486670.278026974,2532138.3751860433
486548.35929989064,2532479.1921672933
486678.4295811407,2532428.4425422936
486578.685195724,2532411.60131521
486757.027601974,2532106.3686943767
486729.049851974,2532164.93654021
486682.8248436407,2532420.2375672935
486596.573039474,2532167.55372771
486632.76214364066,2532506.9712910433
486420.2025353073,2532147.3189006266
486551.5617186407,2532057.857186043
486631.37286239065,2532133.39647771
486702.50275822397,2532409.41150271
486683.998914474,2532123.6561006266
486617.8292478073,2532152.83652771
486719.6126353073,2532150.89865271
486567.070414474,2532458.13929021
486517.49097280734,2532325.748111043
486755.24668530736,2532170.168331877
486444.613439474,2532137.3147818767
486419.83632489067,2532444.3653360433
486696.6145811407,2532132.042888127
486712.7966436407,2532137.944269377
486727.41448530735,2532087.10066521
486672.2890978073,2532432.81709021
486625.7019853073,2532138.8129360434
486725.61918530735,2532141.70381521
486582.25489364064,2532207.5372485435
486431.525014474,2532146.0372277102
486596.2697061407,2532402.58737771
486618.08259364066,2532145.95097146
486640.40564364067,2532296.3194485432
486592.11914989067,2532214.73493396
486622.36353530735,2532126.91229021
486602.1937061407,2532162.572992293
486665.92178947397,2532447.44477146
486511.95683739067,2532300.71916521
486567.9264665573,2532345.67537146
486594.138345724,2532155.6411443767
486596.569276974,2532164.9595610434
486743.88062905736,2532162.2078943765
486649.629151974,2532372.69290271
486633.148920724,2532279.498004793
486575.058926974,2532413.1099693766
486588.00256239064,2532181.89005271
486672.272664474,2532295.79364021
486722.556926974,2532145.8789568767
486723.06522280734,2532140.31699021
486635.17412280734,2532293.497256877
486637.9252998907,2532501.487357918
486647.529351974,2532279.63904021
486724.91143530735,2532091.0268943766
486580.420289474,2532180.5296985433
486579.24758114066,2532345.49604021
486578.9678311407,2532226.25647771
486672.4939436407,2532135.527894377
486673.62881030736,2532132.69510271
486669.2917686407,2532300.714625627
486704.32265405735,2532260.4713631268
486586.4178311407,2532219.9599068766
486704.912039474,2532129.11048396
486674.51409364067,2532313.101206877
486522.4068603073,2532297.0095881266
486589.166726974,2532175.39041521
486626.932976974,2532375.781725627
486519.702545724,2532313.9143047933
486733.411039474,2532878.506356877
486726.5097686407,2532875.9355485435
486718.9823936407,2532904.7695110436
486572.7429353073,2532568.20154021
486727.05426864064,2532910.06004021
486640.10643530736,2532567.70572771
486562.829226974,2532544.1616860433
486728.829739474,2532866.6569860433
486717.9032978073,2532870.4676797935
486718.6963811407,2532775.5707172933
486738.7019228073,2532905.43240271
486640.92024780734,2532576.802498543
486696.2714123907,2532847.0549006267
486736.8580728073,2532889.8990735435
486706.73131864064,2532795.66591521
486738.28377489065,2532870.6370068765
486738.43374780734,2532924.20742771
486785.7911228073,2532890.1389131267
486731.078226974,2532793.5620485432
486713.13351864065,2532877.607898543
486717.972226974,2532924.74336521
486706.2742686407,2532909.259025627
486744.260601974,2532912.427717293
486776.460039474,2532878.0773985432
486728.91462280735,2532900.758775627
486721.2587061407,2532884.95260271
486706.06111239066,2532874.33166521
486734.20131864067,2532912.8857610435
486741.27831030736,2532883.600392293
486725.02948530734,2532907.8985881265
486709.97067905735,2532882.854079793
486711.43086030736,2532919.1042506266
486718.383883224,2532889.5173756266
486720.84195614065,2532885.87652146
486640.2306373907,2532809.9365610434
486728.2612748907,2532889.9652547934
486721.780601974,2532920.3271797933
486717.315414474,2532890.5702193766
486705.6346228073,2532874.3208506266
486715.1072811407,2532911.96316521
486743.66956030735,2532877.86932146
486583.794283224,2532804.69586521
486710.36710197397,2532917.57325896
486742.5028790573,2532917.78532146
486728.36045614065,2532899.60324021
486637.528983224,2532559.982644377
486712.745226974,2532915.3172110436
486577.122964474,2532580.32479021
486722.83921239065,2532872.7607547934
486729.3050311407,2532909.7581672934
486723.155301974,2532915.5228485432
486722.3304478073,2532881.90056521
486743.46543530736,2532915.362773543
486730.1662561407,2532866.94866521
486729.1864978073,2532892.78034021
486710.961164474,2532884.4931756267
486721.9655311407,2532864.390223543
486712.67395614064,2532915.15309646
486728.865789474,2532886.5576485433
486721.9490186407,2532880.549494377
486744.132508224,2532895.0258693765
486727.81331030733,2532890.9108985434
486704.83613114065,2532821.55630271
486707.25313114066,2532906.05069021
486735.6787623907,2532870.3459735434
486725.34551864065,2532912.098681877
486731.160789474,2532920.9054985433
